"","cell_id","group"
"abmlacmf-1","abmlacmf-1","GMP"
"abmljcpf-1","abmljcpf-1","GMP"
"abmlobee-1","abmlobee-1","Early Myeloid Progenitor"
"abmmphld-1","abmmphld-1","Ba/Eo/Ma"
"abmnfpoe-1","abmnfpoe-1","GMP"
"abmoglfa-1","abmoglfa-1","GMP"
"abmokdhe-1","abmokdhe-1","Late Myeloid"
"abmomnod-1","abmomnod-1","Early Myeloid Progenitor"
"abnabmep-1","abnabmep-1","GMP"
"abnbfllo-1","abnbfllo-1","Late Myeloid"
"abnbjjpl-1","abnbjjpl-1","Early Myeloid Progenitor"
"abnbndbj-1","abnbndbj-1","GMP"
"abncbhdf-1","abncbhdf-1","Osteo-MSC"
"abnckimn-1","abnckimn-1","Cycling HSPC"
"abncnbeo-1","abncnbeo-1","GMP"
"abneofmf-1","abneofmf-1","Early Myeloid Progenitor"
"abnfidfb-1","abnfidfb-1","Early Myeloid Progenitor"
"abnfmjnk-1","abnfmjnk-1","MPP"
"abngbhpg-1","abngbhpg-1","MPP"
"abnggfhp-1","abnggfhp-1","RBC"
"abnhfkdh-1","abnhfkdh-1","RBC"
"abnjnbkn-1","abnjnbkn-1","GMP"
"abnkleea-1","abnkleea-1","GMP"
"abnmlhpo-1","abnmlhpo-1","GMP"
"abnngmob-1","abnngmob-1","Osteo-MSC"
"abnngngf-1","abnngngf-1","Early Myeloid Progenitor"
"abnnipep-1","abnnipep-1","Early Myeloid Progenitor"
"abnnjcoi-1","abnnjcoi-1","GMP"
