"","cell_id","group"
"accpgoel-1","accpgoel-1","Not-mapped"
"acdbcgep-1","acdbcgep-1","GMP"
"acdbnina-1","acdbnina-1","Not-mapped"
"acdcfnjg-1","acdcfnjg-1","Not-mapped"
"acdcjoaj-1","acdcjoaj-1","Not-mapped"
"acdgopae-1","acdgopae-1","Not-mapped"
"acdhfjca-1","acdhfjca-1","Mature B"
"acdikhkj-1","acdikhkj-1","RBC"
"acdimpig-1","acdimpig-1","Not-mapped"
"acdjhbpc-1","acdjhbpc-1","Not-mapped"
"acdjnhnh-1","acdjnhnh-1","Not-mapped"
"acdkbldn-1","acdkbldn-1","Pre-B"
"acdkejhg-1","acdkejhg-1","Monocyte"
"acdkjiab-1","acdkjiab-1","Neutrophil"
"acdllokj-1","acdllokj-1","RBC"
"acdpoopj-1","acdpoopj-1","Not-mapped"
"acebjpgf-1","acebjpgf-1","Not-mapped"
"acecgaen-1","acecgaen-1","Not-mapped"
"acecnnni-1","acecnnni-1","Not-mapped"
"acecoieo-1","acecoieo-1","Late Erythroid"
"acedjegd-1","acedjegd-1","Not-mapped"
"acednbeb-1","acednbeb-1","Not-mapped"
"aceebhdi-1","aceebhdi-1","Not-mapped"
"acegcbnf-1","acegcbnf-1","Not-mapped"
"acehdgbb-1","acehdgbb-1","Not-mapped"
"acejfpbl-1","acejfpbl-1","Not-mapped"
"acelbhjg-1","acelbhjg-1","Ba/Eo/Ma"
"acepdopm-1","acepdopm-1","Not-mapped"
"acepoaaa-1","acepoaaa-1","Not-mapped"
"acfaleco-1","acfaleco-1","Not-mapped"
"acfaofch-1","acfaofch-1","Not-mapped"
"acfcdblk-1","acfcdblk-1","Not-mapped"
"acfdfeee-1","acfdfeee-1","Not-mapped"
"acffgdhn-1","acffgdhn-1","Late Erythroid"
"acfgapjh-1","acfgapjh-1","Not-mapped"
"acfjpmke-1","acfjpmke-1","Late Erythroid"
"acfkkooa-1","acfkkooa-1","VSMC"
"acfklfbo-1","acfklfbo-1","Not-mapped"
"acflhagh-1","acflhagh-1","AEC"
"acfnldfa-1","acfnldfa-1","Not-mapped"
"acfpelld-1","acfpelld-1","Mature B"
"acgbknjn-1","acgbknjn-1","Not-mapped"
"acgcbjki-1","acgcbjki-1","Not-mapped"
"acgdchnl-1","acgdchnl-1","AEC"
"acgebmld-1","acgebmld-1","CD8+ T-Cell"
"acgempja-1","acgempja-1","Not-mapped"
"acgglhaa-1","acgglhaa-1","Monocyte"
"acggmppd-1","acggmppd-1","Not-mapped"
"acghdgan-1","acghdgan-1","Late Erythroid"
"acghmndj-1","acghmndj-1","RBC"
"acgiokjm-1","acgiokjm-1","Not-mapped"
"acgipkbn-1","acgipkbn-1","GMP"
"acgkhgnm-1","acgkhgnm-1","Not-mapped"
"acgkhhbk-1","acgkhhbk-1","Not-mapped"
"acgklkbb-1","acgklkbb-1","Not-mapped"
"acgmnmbo-1","acgmnmbo-1","Not-mapped"
"acgmomcf-1","acgmomcf-1","Not-mapped"
"acgnfnpo-1","acgnfnpo-1","Late Erythroid"
"acgpedgf-1","acgpedgf-1","Not-mapped"
"acgpical-1","acgpical-1","Not-mapped"
"acgppdhe-1","acgppdhe-1","Not-mapped"
"achdofej-1","achdofej-1","Not-mapped"
"acheeodi-1","acheeodi-1","Not-mapped"
"achhbeeg-1","achhbeeg-1","Not-mapped"
"achjgilc-1","achjgilc-1","Not-mapped"
