"","cell_id","group"
"abnngmob-1","abnngmob-1","Not-mapped"
"abnngngf-1","abnngngf-1","Early Myeloid Progenitor"
"abnnipep-1","abnnipep-1","Early Myeloid Progenitor"
"abnnjcoi-1","abnnjcoi-1","Not-mapped"
"abnnkpkc-1","abnnkpkc-1","Not-mapped"
"abnoglfd-1","abnoglfd-1","Not-mapped"
"abnpekkj-1","abnpekkj-1","Late Erythroid"
"abnppknl-1","abnppknl-1","Not-mapped"
"aboaangm-1","aboaangm-1","Early Myeloid Progenitor"
"aboafonn-1","aboafonn-1","Not-mapped"
"abodiacp-1","abodiacp-1","GMP"
"abogegeo-1","abogegeo-1","Not-mapped"
"aboimgde-1","aboimgde-1","Not-mapped"
"abokknee-1","abokknee-1","Late Erythroid"
