"","cell_id","group"
"abfefjkj-1","abfefjkj-1","CD74+ Myeloid/immune progenitors/Monocyte/Macrophage"
"abfegmlf-1","abfegmlf-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abfeoohg-1","abfeoohg-1","Uk"
"abfgfboa-1","abfgfboa-1","CD74+ Myeloid/immune progenitors/Monocyte/Macrophage"
"abfhogmj-1","abfhogmj-1","CD74+ Myeloid/immune progenitors/Monocyte/Macrophage"
"abfjbfnh-1","abfjbfnh-1","Uk"
"abfjhhof-1","abfjhhof-1","ITGAM+ ELANE_low Neutrophil"
"abfknnhb-1","abfknnhb-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abfllgpk-1","abfllgpk-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abfmdkmb-1","abfmdkmb-1","Uk"
"abfnhbnf-1","abfnhbnf-1","Uk"
"abgajglp-1","abgajglp-1","PDGFRA/B+ MSC/Bone"
"abgcnklb-1","abgcnklb-1","SPP1+ Osteoblast"
"abgcojkm-1","abgcojkm-1","B cell"
"abgggkkf-1","abgggkkf-1","SPP1+ Osteoblast"
"abghccph-1","abghccph-1","ELANE_high Neutrophil"
"abghgkdg-1","abghgkdg-1","MKI67+ Erythroblast"
"abgjcbdp-1","abgjcbdp-1","SPP1+ Osteoblast"
"abgjojpp-1","abgjojpp-1","Uk"
"abgkhapc-1","abgkhapc-1","Megakaryocyte?"
"abgkmkdk-1","abgkmkdk-1","Megakaryocyte?"
"abglagie-1","abglagie-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abglepfn-1","abglepfn-1","Uk"
"abglfidb-1","abglfidb-1","MS4A2+ Mast Cell?"
"abgnklmk-1","abgnklmk-1","Uk"
"abgpijbe-1","abgpijbe-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abgpmiab-1","abgpmiab-1","Uk"
"abhdcjjj-1","abhdcjjj-1","MKI67+ Erythroblast"
"abhdlilb-1","abhdlilb-1","PDGFRA/B+ MSC/Bone"
"abhdnacg-1","abhdnacg-1","Uk"
"abhedgck-1","abhedgck-1","Uk"
"abhfcbal-1","abhfcbal-1","ITGAM+ Uk"
"abhfoioo-1","abhfoioo-1","DNTT+ Uk"
"abhhjhle-1","abhhjhle-1","ITGAM+ Uk"
"abhigdhh-1","abhigdhh-1","B cell"
"abhijajh-1","abhijajh-1","Uk"
"abhjbmjk-1","abhjbmjk-1","SPP1+ Osteoblast"
"abhjfgpg-1","abhjfgpg-1","CD74+ Uk"
"abhkimgk-1","abhkimgk-1","SPP1+ Osteoblast"
"abhlillh-1","abhlillh-1","Uk"
"abhmjhlk-1","abhmjhlk-1","PECAM1+ Endothelial/Plasma cell/HSC?/B cell"
"abhnmcmd-1","abhnmcmd-1","ITGAM+ ELANE_low Neutrophil"
"abhnojnf-1","abhnojnf-1","ITGAM+ ELANE_low Neutrophil"
"abhoppho-1","abhoppho-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abhpcahm-1","abhpcahm-1","SPP1+ Osteoblast"
"abhpihoe-1","abhpihoe-1","ELANE_high Neutrophil"
"abicobha-1","abicobha-1","SPP1+ Osteoblast"
"abieabgc-1","abieabgc-1","ELANE_high Neutrophil"
"abiedfac-1","abiedfac-1","ELANE_high Neutrophil"
"abifamln-1","abifamln-1","ELANE_high Neutrophil"
"abifmehc-1","abifmehc-1","MKI67+ Erythroblast"
"abifmlmk-1","abifmlmk-1","ELANE_high Neutrophil"
"abihomcn-1","abihomcn-1","ELANE_high Neutrophil"
"abinkgko-1","abinkgko-1","ELANE_high Neutrophil"
"abjamgmg-1","abjamgmg-1","ELANE_high Neutrophil"
"abjbkkho-1","abjbkkho-1","PDGFRA/B+ MSC/Bone"
"abjblhph-1","abjblhph-1","CD74+ Myeloid/immune progenitors/Monocyte/Macrophage"
"abjblmlc-1","abjblmlc-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abjcacbe-1","abjcacbe-1","PDGFRA/B+ MSC/Bone"
"abjccgbd-1","abjccgbd-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abjcidpi-1","abjcidpi-1","PECAM1+ Endothelial/Plasma cell/HSC?/B cell"
"abjddobl-1","abjddobl-1","ELANE_high Neutrophil"
"abjdkhfh-1","abjdkhfh-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abjeliaf-1","abjeliaf-1","B cell"
"abjfdgkb-1","abjfdgkb-1","ITGAM+ ELANE_low Neutrophil"
"abjfghcb-1","abjfghcb-1","ITGAM+ Uk"
"abjhgfen-1","abjhgfen-1","ITGAM+ ELANE_low Neutrophil"
"abjhlkip-1","abjhlkip-1","ITGAM+ Uk"
