"","cell_id","group"
"acjikkmb-1","acjikkmb-1","Not-mapped"
"acjkaodo-1","acjkaodo-1","Osteoblast"
"acjkenja-1","acjkenja-1","Not-mapped"
"acjmpibc-1","acjmpibc-1","Early Myeloid Progenitor"
"acjogapc-1","acjogapc-1","Not-mapped"
"ackbfmnl-1","ackbfmnl-1","RNAlo MSC"
"ackbkdpn-1","ackbkdpn-1","Not-mapped"
"ackfagpj-1","ackfagpj-1","Osteoblast"
"ackgbeoe-1","ackgbeoe-1","Not-mapped"
"ackieoaa-1","ackieoaa-1","Early Myeloid Progenitor"
"ackihpkd-1","ackihpkd-1","Osteoblast"
"ackocoof-1","ackocoof-1","Not-mapped"
"ackpfaoa-1","ackpfaoa-1","Not-mapped"
"aclbhbba-1","aclbhbba-1","Not-mapped"
"aclbmeib-1","aclbmeib-1","AEC"
"acliccdj-1","acliccdj-1","Not-mapped"
"acliolfl-1","acliolfl-1","Not-mapped"
"acljcddm-1","acljcddm-1","Not-mapped"
"aclkfkop-1","aclkfkop-1","Not-mapped"
"aclkpoij-1","aclkpoij-1","Not-mapped"
"acllcmcd-1","acllcmcd-1","Not-mapped"
"aclmlbcp-1","aclmlbcp-1","Osteoblast"
"aclngehb-1","aclngehb-1","RNAlo MSC"
"aclpffee-1","aclpffee-1","AEC"
"aclpieba-1","aclpieba-1","Not-mapped"
"acmcgddk-1","acmcgddk-1","Not-mapped"
"acmckgjg-1","acmckgjg-1","Osteoblast"
"acmcnici-1","acmcnici-1","AEC"
"acmdeodd-1","acmdeodd-1","Not-mapped"
"acmdkkjd-1","acmdkkjd-1","Not-mapped"
"acmdofmj-1","acmdofmj-1","Plasma Cell"
"acmdofmn-1","acmdofmn-1","Not-mapped"
"acmieihj-1","acmieihj-1","Early Myeloid Progenitor"
"acminfbd-1","acminfbd-1","Plasma Cell"
"acmjjeck-1","acmjjeck-1","Not-mapped"
"acmkggoj-1","acmkggoj-1","Not-mapped"
"acmladgb-1","acmladgb-1","Pro-B"
"acmlomko-1","acmlomko-1","Not-mapped"
"acmoaaem-1","acmoaaem-1","Not-mapped"
"acmoddpp-1","acmoddpp-1","Not-mapped"
"acnahfnh-1","acnahfnh-1","Not-mapped"
"acnbbibp-1","acnbbibp-1","Not-mapped"
"acnbpepj-1","acnbpepj-1","Macrophages"
"acncfplo-1","acncfplo-1","Macrophages"
"acnchihf-1","acnchihf-1","Osteoblast"
"acncmmec-1","acncmmec-1","Not-mapped"
"acndegli-1","acndegli-1","Osteoblast"
"acndmfbd-1","acndmfbd-1","Not-mapped"
"acneelhj-1","acneelhj-1","RNAlo MSC"
"acnejkck-1","acnejkck-1","THY1+ MSC"
"acnepmpf-1","acnepmpf-1","SEC"
"acngknnn-1","acngknnn-1","Not-mapped"
"acngofam-1","acngofam-1","RNAlo MSC"
"acnhclik-1","acnhclik-1","Not-mapped"
"acnhgpdg-1","acnhgpdg-1","Not-mapped"
