cell_id,group
adnjnilk-1,THY1+ MSC
adnkbaig-1,SEC
adnkdhjh-1,Early Myeloid Progenitor
adnldpii-1,Plasma Cell
adnmfkgl-1,Fibro-MSC
adnpfdoi-1,AEC
adnpndcb-1,MEP
adocadkk-1,Mature B
adocdplj-1,Fibro-MSC
adoehlnl-1,Pro-B
adoffmeh-1,Fibro-MSC
adofgkel-1,Pro-B
adogfigc-1,AEC
adohhofc-1,CD4+ T-Cell
adohllik-1,Early Myeloid Progenitor
adoijddl-1,CLP
adojdndg-1,Late Erythroid
adokhpih-1,Mature B
adolfefp-1,Late Erythroid
adonndio-1,Fibro-MSC
adoognop-1,Fibro-MSC
adpbbjma-1,Pre-Pro B
adpbcbac-1,Osteo-MSC
adpdcaec-1,Fibro-MSC
adpekbbo-1,Mature B
adpfenne-1,Macrophages
adpikmjd-1,Fibro-MSC
adpkmanb-1,RBC
adpllcmg-1,CD8+ T-Cell
adplpkia-1,GMP
adpmfcop-1,CD8+ T-Cell
adpnekcn-1,Plasma Cell
adpnjkng-1,Plasma Cell
adpnoclg-1,RBC
adpodkeb-1,Osteoblast
aeacaocn-1,CD4+ T-Cell
aeacbemc-1,Pre-B
aeacmbdf-1,Fibro-MSC
aeacpjhi-1,MEP
aeadmilk-1,CD8+ T-Cell
aeadneij-1,RBC
aeagdpbc-1,Late Myeloid
aeagoamp-1,Osteoblast
